registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
41573,BLASTOP PREVENT                             ,comp.rec.x30 + comp.x30 , No Clasificada,Trb-Pharma          ,"fólico,ác.+asoc.                        ",5731971,7795371459252
41587,CETAPHIL ULTRA HUMECTANTE                   ,x 226 g                 , No Clasificada,Galderma            ,manteca de karité+asoc.                 ,9941587,7897930761674
41588,TRIFAMOX                                    ,250 mg comp.mast.x 21   ,250 mg,Bagó                ,amoxicilina                             ,5688683,7790375266462
41589,TRIFAMOX                                    ,500 mg comp.mast.x 21   ,500 mg,Bagó                ,amoxicilina                             ,5688713,7790375266479
41591,SEROQUEL                                    ,300 mg comp.x 30        ,300 mg,Bagó                ,quetiapina                              ,5661972,7790375266202
41592,GLIOCARVEDIL                                ,10/12.5 mg comp.x 30+30 ,10/12.5 mg,Bagó                ,enalapril+carvedilol                    ,5695843,7790375266448
41597,TRIFAMOX DUO                                ,875 mg comp.mast.x 14   ,875 mg,Bagó                ,amoxicilina                             ,5688842,7790375266486
41603,CEFALEXINA ARGENTIA DUO                     ,1 g comp. x 14          ,1000 mg,Nova Argentia       ,cefalexina                              ,2856865,7798129411021
41604,CEFALEXINA ARGENTIA DUO                     ,750 mg susp.x 90 ml     ,750 mg/5 ml,Nova Argentia       ,cefalexina                              ,5674713,7798129411014
41605,DICLOGESIC 100 AP                           ,100mg comp.acc.prol.x 10,100 mg Retard,Trb-Pharma          ,diclofenac                              ,3743803,7795371459269
41607,DETEBENCIL                                  ,6 mg comp.x 2           ,6 mg,Roux Ocefa          ,ivermectina                             ,5447391,7793213591306
41608,DETEBENCIL                                  ,6 mg comp.x 6           ,6 mg,Roux Ocefa          ,ivermectina                             ,5447392,7793213591313
41613,CURACNE                                     ,40 mg caps.x 30         ,40 mg,Pierre Fabre Der    ,isotretinoína                           ,567268,7798067995621
41614,CAUSALON IBU                                ,susp.oral x 120 ml      ,100 mg/5 ml,Phoenix             ,ibuprofeno                              ,9941614,7791848102393
41619,CLINADOL FORTE AP                           ,200mgcomp.rec.lib.prolx8,200 mg Retard,Gador               ,flurbiprofeno                           ,5735003,7792183488883
41620,JANUMET                                     ,50/1000 mg comp.x 28    ,50/1000 mg,Merck Sharp & Do    ,"sitagliptina+metformina,clorh.          ",5718261,7797991150182
41621,JANUMET                                     ,50/500 mg comp.x 28     ,50/500 mg,Merck Sharp & Do    ,"sitagliptina+metformina,clorh.          ",5718131,7797991150168
41622,TOCOFENO                                    ,50 mg comp.x 20         ,50 mg,Ferring             ,"clomifeno,citrato                       ",5614421,7795309002567
41625,VENTICIL                                    ,100 mcg aer.x 200 dosis ,100 mcg/dosis,Sandoz              ,salbutamol                              ,5720421,7792069592017
41626,BUDEZONIL NASAL                             ,50 mcg aer.nasalx 200ds.,50 mcg/dosis,Sandoz              ,budesonide                              ,5721841,7792069222037
41627,BUDEZONIL BRONQUIAL PEDIATRICO              ,50 mcg aer. x 200 dosis ,50 mcg/dosis,Sandoz              ,budesonide                              ,5721681,7792069222013
41628,BUDEZONIL BRONQUIAL                         ,200 mcg aer. x 100 dosis,200 mcg/dosis,Sandoz              ,budesonide                              ,5721711,7792069222020
41635,RASAX                                       ,1 mg comp.x 30          ,1 mg,AstraZeneca         ,rasagilina                              ,5710394,7795351982954
41636,ATENIX                                      ,100 mg comp.ran.x 30    ,100 mg,Raffo               ,sertralina                              ,3607512,7798084685000
41637,ACTRON 600 RAPIDA ACCION                    ,caps.gelat.blanda x 20  ,600 mg,Bayer Consumer      ,ibuprofeno                              ,5229912,7793640215622
41639,TORIVAS AT 20/81                            ,comp.rec.ran/gast.x30+30,20/81 mg,Baliarda            ,"atorvastatín+acetilsalicílico,ác        ",5685263,7795338016153
41640,FILTEN                                      ,50 mg comp.ran.x 28     ,50 mg,Gador               ,carvedilol                              ,5735423,7792183488876
41652,GRINSIL RESPIRATORIO DUO                    ,875/60 mg comp.x 14     ,875/60 mg,Nova Argentia       ,amoxicilina+ambroxol                    ,5688136,7798129410925
41653,GRINSIL RESPIRATORIO DUO                    ,750/15 mg susp.x 70 ml  ,750/15 mg,Nova Argentia       ,amoxicilina+ambroxol                    ,5688262,7798129410932
41657,ALOSOL                                      ,gts.oft.x 10 ml         ,0.025/0.1 mg %,Poen                ,"oximetazolina+sodio,hialuronato         ",5734711,7795368055290
41659,TEMISARTAN                                  ,100 mg comp.x 30        ,100 mg,Temis-Lostaló       ,losartán                                ,5703421,7795337900040
41660,TEMISARTAN DIUR 50/12.5                     ,comp.rec.x 30           ,50/12.5 mg,Temis-Lostaló       ,losartán+hidroclorotiazida              ,5177561,7795337900057
41661,TEMISARTAN DIUR 100/25                      ,comp.rec.x 30           ,100/25 mg,Temis-Lostaló       ,losartán+hidroclorotiazida              ,5177611,7795337900064
41663,IBUPROFENO ELISIUM 200                      ,200 mg comp.x 40        ,200 mg,Elisium             ,ibuprofeno                              ,9941663,7794433402434
41665,VALIFLOX 750                                ,750 mg comp.rec.ran.x 5 ,750 mg,Baliarda            ,levofloxacina                           ,5718715,7795338016221
41668,BACTIFREN 500                               ,500 mg comp.rec.x 7     ,500 mg,Montpellier         ,levofloxacina                           ,5684971,7795378003847
41671,INHALAN                                     ,spray nasal x 60 ds.    ,50 mcg/dosis,Casasco             ,fluticasona                             ,5741001,7791909213914
41672,INHALAN                                     ,spray nasal x 120 ds.   ,50 mcg/dosis,Casasco             ,fluticasona                             ,5741002,7791909213938
41682,XEFO                                        ,8 mg comp.rec.x 10      ,8 mg,Takeda              ,lornoxicam                              ,4561041,7795300740406
41685,RENACENZ                                    ,a.x 5 x 10 ml           ,215.2 mg/ml,Richmond            ,cerebrolysin                            ,547262,7795348251148
41686,FERIVE                                      ,100 mg a.x 5            ,20 mg/ml,Domínguez           ,"hierro,sacarato                         ",5639001,7795327091338
41687,URZAC FORTE                                 ,500 mg comp.x 30        ,500 mg,Eurofarma           ,"ursodesoxicólico,ác.                    ",5677002,7798016921503
41697,GAVIN                                       ,75 mg caps.x 14         ,75 mg,Gador               ,pregabalina                             ,5753133,7792183488838
41698,GAVIN                                       ,75 mg caps.x 28         ,75 mg,Gador               ,pregabalina                             ,5753134,7792183488845
41699,GAVIN                                       ,150 mg caps.x 28        ,150 mg,Gador               ,pregabalina                             ,5719134,7792183488852
41700,GAVIN                                       ,300 mg caps.x 28        ,300 mg,Gador               ,pregabalina                             ,5719264,7792183488869
41701,APRIL 28                                    ,comp.x 28               ,100/20 mcg,Gador               ,levonorgestrel+etinilestradiol          ,4184192,7792183488890
41707,IBUPROFENO ELISIUM MUJER                    ,400 mg comp.x 30        ,400 mg,Elisium             ,ibuprofeno                              ,9941707,7784433402410
41708,LITHIUN                                     ,150 mg comp.x 50        ,150 mg,Elisium             ,"litio,carbonato                         ",4385162,7794433402441
41709,DIOCAM                                      ,0.25 mg comp.x 10       ,0.25 mg,Gador               ,clonazepam                              ,9941709,7794433402403
41714,IBUPROFENO ELISIUM NIÑOS                    ,50 mg comp.mast.x 20    ,50 mg,Elisium             ,ibuprofeno                              ,9941714,7794433402427
41715,CO APROVEL 300/25 MG                        ,300/25 mg comp.x 28     ,300/25 mg,Sanofi-Aventis      ,irbesartán+hidroclorotiazida            ,5651261,7795312020732
41724,HEXALER PLUS                                ,caps.lib.prol.x 10      ,2.5/120 mg Retard,Investi             ,desloratadina+pseudoefedrina            ,5696391,7795380010390
41726,KM                                          ,0.1% gel x 30 g         ,0.1 g %,Raymos              ,adapaleno                               ,5617555,7795367054904
41727,ANUAR                                       ,500 mg comp.x 7         ,500 mg,Nova Argentia       ,levofloxacina                           ,5715393,7798129411090
41728,ANUAR                                       ,750 mg comp.x 5         ,750 mg,Nova Argentia       ,levofloxacina                           ,5715422,7798129411106
41730,LAGOTRAN                                    ,200 mg comp.dispers.x 30,200 mg,Beta                ,lamotrigina                             ,5039342,7795328056794
41748,RELESTAT                                    ,sol.oft.x 5 ml          ,0.5 mg/ml,Allergan-Loa        ,epinastina                              ,5707391,7795316915294
41749,MARVIL 70 SOLUCION BEBIBLE                  ,70 mg/75 ml fco.x 4     ,70 mg/100 ml,Elisium             ,alendronato                             ,5443971,7794433402465
41754,NAPRUX RAPID                                ,550 mg comp.rec.ran.x 10,550 mg,Valuge-Lic          ,naproxeno                               ,3394912,7793742102660
41755,NAPRUX RAPID                                ,550 mg comp.rec.ran.x 20,550 mg,Valuge-Lic          ,naproxeno                               ,3394911,7793742102448
41757,ERVEMIN                                     ,15 mg comp.x 4          ,15 mg,Ivax Arg.           ,metotrexato                             ,5725261,7795342005686
41758,ERVEMIN                                     ,20 mg iny.a.x 4         ,5 mg/ml,Ivax Arg.           ,metotrexato                             ,4936931,7795342005693
41759,CRAVENORM                                   ,0.5 mg comp.x 30        ,0.5 mg,Craveri             ,repaglinida                             ,5235132,7792234892355
41760,CRAVENORM                                   ,0.5 mg comp.x 90        ,0.5 mg,Craveri             ,repaglinida                             ,5235134,7792234892362
41761,CRAVENORM                                   ,1 mg comp.x 30          ,1 mg,Craveri             ,repaglinida                             ,5235292,7792234892317
41762,CRAVENORM                                   ,1 mg comp.x 90          ,1 mg,Craveri             ,repaglinida                             ,5235294,7792234892324
41763,CRAVENORM                                   ,2 mg comp.x 30          ,2 mg,Craveri             ,repaglinida                             ,5235342,7792234892331
41764,LUNG                                        ,150 mg comp.x 10        ,150 mg,Craveri             ,bupropión                               ,4832642,7792234892287
41765,LUNG                                        ,150 mg comp.x 30        ,150 mg,Craveri             ,bupropión                               ,4832641,7792234892294
41766,LUNG                                        ,150 mg comp.x 60        ,150 mg,Craveri             ,bupropión                               ,4832643,7792234892300
41767,CRAVERIL DUO                                ,200/10mg comp.x60(30+30),10/200 mg,Craveri             ,ezetimibe+fenofibrato                   ,5739391,7792234892256
41768,CRAVENORM                                   ,2 mg comp.x 90          ,2 mg,Craveri             ,repaglinida                             ,5235344,7792234892348
41769,TRYPTALGIN                                  ,10 mg comp.rec.x 30     ,10 mg,Craveri             ,amitriptilina                           ,5697131,7792234892379
41770,TRYPTALGIN                                  ,25 mg comp.rec.x 30     ,25 mg,Craveri             ,amitriptilina                           ,5697261,7792234892386
41771,TRYPTALGIN                                  ,75 mg comp.rec.x 30     ,75 mg,Craveri             ,amitriptilina                           ,5697393,7792234892393
41772,MIGRATRIPTAN                                ,100 mg comp.x 2         ,100 mg,Craveri             ,sumatriptán                             ,3872682,7792234892263
41773,MIGRATRIPTAN                                ,100 mg comp.x 4         ,100 mg,Craveri             ,sumatriptán                             ,3872683,7792234892270
41774,CETAPHIL UV DEFENSE                         ,SPF 50 cr.x 50 ml       , No Clasificada,Galderma            ,mexoryl SX+asoc.                        ,9941774,3499320003001
41775,DOXTRAN MAX                                 ,25 mg comp.rec.x 10     ,25 mg,Phoenix             ,diclofenac sódico                       ,9941775,7791848060013
41776,DOXTRAN MAX                                 ,25 mg comp.rec.x 20     ,25 mg,Phoenix             ,diclofenac sódico                       ,9941776,7791848060020
41779,NEOSTRATA LABIAL HUMECTANTE                 ,barra x 3.9 g           , No Clasificada,HLB Pharma          ,vit.e+asoc.                             ,9941779,7798081260866
41785,ALDACTONE D 25/20                           ,comp.x 30               ,25/20 mg,Pfizer              ,espironolactona+furosemida              ,5716001,7795381411240
41786,DUOTRAV                                     ,sol.oft.x 2.5 ml        ,0.04/5 mg/ml,Alcon               ,travoprost+timolol                      ,5582421,7792086416587
41787,INVEGA                                      ,3 mg comp.lib.prol.x 28 ,3 mg Retard,Janssen-Cilag       ,paliperidona                            ,5746001,7795314023489
41788,INVEGA                                      ,6 mg comp.lib.prol.x 28 ,6 mg Retard,Janssen-Cilag       ,paliperidona                            ,574613,7795314023496
41791,CORITENSIL                                  ,3.125 mg comp.ran.x 28  ,3.125 mg,Roux Ocefa          ,carvedilol                              ,5731131,7793213591382
41792,DELORAT                                     ,5 mg comp.rec.x 10      ,5 mg,Lazar               ,desloratadina                           ,3054181,7795347972709
41793,DELORAT                                     ,5mg/10ml jbe.x 50 ml    ,2.5 mg/5 ml,Lazar               ,desloratadina                           ,3054261,7795347972716
41831,DIUREX A                                    ,12.5/1.25 mg comp.x 30  ,12.5/1.25 mg,Bagó                ,hidroclorotiazida+amilorida             ,5737392,7790375266493
41832,NOVO HUMORAP                                ,20 mg comp.rec.x 28     ,20 mg,Bagó                ,escitalopram                            ,5701263,7790375266530
41833,NOVO HUMORAP                                ,10 mg comp.rec.x 28     ,10 mg,Bagó                ,escitalopram                            ,5701133,7790375266523
41865,TRAMACET                                    ,comp.x 20               ,37.5/325 mg,Janssen-Cilag       ,tramadol+paracetamol                    ,5114492,7795314026695
41869,ULSANOL                                     ,10 mg caps.x 28         ,10 mg,Nova Argentia       ,omeprazol                               ,5713712,7798129411045
41870,ULSANOL                                     ,20 mg caps.x 14         ,20 mg,Nova Argentia       ,omeprazol                               ,5713841,7798129411052
41871,ULSANOL                                     ,20 mg caps.x 28         ,20 mg,Nova Argentia       ,omeprazol                               ,5713842,7798129411069
41874,RIFADOM                                     ,200 mg comp.x 10        ,200 mg,Domínguez           ,rifaximina                              ,5736001,7795327062208
41875,RIFADOM                                     ,200 mg comp.x 30        ,200 mg,Domínguez           ,rifaximina                              ,5736002,7795327062215
41877,ACEMUK L                                    ,comp.x 20               , No Clasificada,Investi             ,acetilcisteína+tirotricina+asoc.        ,5752684,7795380010437
41933,MEDAFLOX DOL                                ,comp.x 26 (20+6)        ,500/200 mg,Eurolab             ,ciprofloxacina+fenazopiridina           ,5744711,7798122340496
41938,CALCIUM SANDOZ 1000 MG                      ,comp.efer.x 10          , No Clasificada,Sandoz              ,"calcio,carbonato+asoc.                  ",5700681,7795306037050
41939,CALCIUM SANDOZ 1000 MG                      ,comp.efer.x 30          , No Clasificada,Sandoz              ,"calcio,carbonato+asoc.                  ",5700682,7795306037067
41951,ATIPINA 25                                  ,25 mg comp.rec.x 10     ,25 mg,Raymos              ,quetiapina                              ,5699391,7795367055338
41952,ATIPINA 25                                  ,25 mg comp.rec.x 30     ,25 mg,Raymos              ,quetiapina                              ,5737843,7795367055345
41953,ATIPINA 100                                 ,100 mg comp.rec.x 30    ,100 mg,Raymos              ,quetiapina                              ,5737713,7795367055352
41954,ATIPINA 200                                 ,200 mg comp.rec.x 30    ,200 mg,Raymos              ,quetiapina                              ,5737681,7795367055369
41955,ESCITEROKAM                                 ,10 mg comp.ran.x 15     ,10 mg,Raymos              ,escitalopram                            ,5699393,7795367055239
41956,ESCITEROKAM                                 ,10 mg comp.ran.x 30     ,10 mg,Raymos              ,escitalopram                            ,5699395,7795367055246
41957,ESCITEROKAM                                 ,20 mg comp.ran.x 15     ,20 mg,Raymos              ,escitalopram                            ,5699423,7795367055253
41958,ESCITEROKAM                                 ,20 mg comp.ran.x 30     ,20 mg,Raymos              ,escitalopram                            ,5699425,7795367055260
41963,PITYLIS                                     ,2% shamp.x 120 ml       ,2 g %,Raymos              ,ketoconazol                             ,3924234,7791763001092
41964,BACTIFREN 750                               ,750 mg comp.rec.x 5     ,750 mg,Montpellier         ,levofloxacina                           ,5738711,7795378003854
41972,VAGRAN                                      ,10 mg comp.x 12         ,10 mg,Finadiet            ,loratadina                              ,4607254,7791171101650
41973,VAGRAN                                      ,10 mg comp.x 20         ,10 No Clasificada,Finadiet            ,loratadina                              ,4607252,7791171101636
41974,VAGRAN D                                    ,comp.x 12               ,10/120 mg,Finadiet            ,loratadina+pseudoefedrina               ,4721764,7791171101667
41975,VAGRAN D                                    ,comp.x 20               ,10/120 mg,Finadiet            ,loratadina+pseudoefedrina               ,4721762,7791171101643
41976,LACTAS                                      ,comp.ran.x 20           ,9000 U,Domínguez           ,lactasa                                 ,5699001,7795327091420
42033,FLUCOGINKAN                                 ,150 mg comp.ran.x 2     ,150 mg,Baliarda            ,fluconazol                              ,5103022,7795338015958
42034,FLUCOGINKAN                                 ,150 mg comp.ran.x 4     ,150 mg,Baliarda            ,fluconazol                              ,5103024,7795338015965
42035,LACTIBON                                    ,barra x 120 g           , No Clasificada,Raymos              ,"láctico,ác.+asoc.                       ",9942035,7703281004325
42040,PECTOX 2% INFANTIL                          ,jbe.x 100 ml            ,100 mg/5 ml,Sanofi-Aventis      ,carbocisteína                           ,3037931,7795312107532
42041,PECTOX 5%                                   ,jbe.x 150 ml            ,250 mg/5 ml,Sanofi-Aventis      ,carbocisteína                           ,3037932,7795312107570
42044,SYNCROCOR                                   ,5 mg comp.x 28          ,5 mg,Ivax Arg.           ,nebivolol                               ,5622971,7795326005374
42045,TRASTOCIR DUO                               ,50/81 mg cap.x 30       ,50/81 mg,Ivax Arg.           ,"cilostazol+acetilsalícilico,ác.         ",5749131,7795326004605
42046,TRASTOCIR DUO                               ,100/81 mg cap.x 30      ,100/81 mg,Ivax Arg.           ,"cilostazol+acetilsalícilico,ác.         ",5749261,7795326004612
42048,FIRMEL                                      ,100 mg comp.rec.x 2     ,100 mg,Craveri             ,sildenafil                              ,5672711,7792234892201
42049,FIRMEL                                      ,100 mg comp.rec.x 10    ,100 mg,Craveri             ,sildenafil                              ,5672714,7792234892218
42051,ZYPREXA ZYDIS                               ,5 mg tab.dis.inst.x 14  ,5 mg,Eli Lilly           ,olanzapina                              ,4783143,7703991000013
42052,ZYPREXA ZYDIS                               ,10 mg tab.dis.inst.x 14 ,10 mg,Eli Lilly           ,olanzapina                              ,4783223,7703991000020
42053,FIBRINOX                                    ,20mg jga.prell.x10x0.2ml,100 mg,Sandoz              ,enoxaparina sódica                      ,5734132,7792069220026
42060,VISAG                                       ,sol.oft.x 2.5 ml        ,1 g %,Poen                ,azitromicina                            ,5742971,7795368055306
42061,BLOKIUM PROST                               ,50 mg comp.x 16         ,50/200 mg,Casasco             ,diclofenac sódico+misoprostol           ,5761131,7791909321107
42062,BLOKIUM PROST                               ,75 mg comp.x 16         ,75/200 mg,Casasco             ,diclofenac sódico+misoprostol           ,5761261,7791909321169
42063,DANLOX RAPIDO                               ,20 mg caps.x 15         ,20/1100 mg,Casasco             ,"omeprazol+sodio,bicarbonato             ",5716971,7791909409409
42064,DANLOX RAPIDO                               ,20 mg caps.x 30         ,20/1100 mg,Casasco             ,"omeprazol+sodio,bicarbonato             ",5716972,7791909409430
42065,ISOBLOC D                                   ,comp.x 30               ,25/12.5 mg,Casasco             ,carvedilol+hidroclorotiazida            ,5726001,7791909303608
42070,OLEOFIN                                     ,120 mg caps.x 30        ,120 mg,Casasco             ,orlistat                                ,5762001,7791909111609
42071,OLEOFIN                                     ,120 mg caps.x 60        ,120 mg,Casasco             ,orlistat                                ,5762002,7791909111630
42073,NEUMOTIDE CAPSULAS                          ,100/50 mcg caps.x60 +apl,100/50 mcg,Phoenix             ,fluticasona+salmeterol                  ,4846841,7791848257055
42074,NEUMOTIDE CAPSULAS                          ,250/50 mcg caps.x60 +apl,250/50 mcg,Phoenix             ,fluticasona+salmeterol                  ,4846921,7791848257062
42075,NEUMOTIDE CAPSULAS                          ,500/50 mcg caps.x60 +apl,500/50 mcg,Phoenix             ,fluticasona+salmeterol                  ,4847091,7791848257079
42076,TEOSONA EXPECTORANTE                        ,jbe.x 100 ml            ,15 mg/5 ml,Phoenix             ,ambroxol                                ,5761001,7791848037350
42077,UNIFLOX                                     ,500 mg comp.rec.ran.x 14,500 mg,Raffo               ,levofloxacina                           ,4911502,7798084685086
42078,CETAPHIL                                    ,loc.limpiadora x 237 ml , No Clasificada,Galderma            ,alcohol cetílico+asoc.                  ,9942078,8430351066011
42079,CAMELIA                                     ,comp.rec.x 28           ,75 mcg,Laboratorios Ber    ,desogestrel                             ,5722001,7792175008792
42082,DIOXAFLEX PROTECT 75/10                     ,75/10mg comp.x 10+10    ,75/10 mg,Bagó                ,diclofenac sódico+omeprazol             ,5661391,7790375266998
42083,DIOXAFLEX PROTECT 75/10                     ,75/10mg comp.x 30+30    ,75/10 mg,Bagó                ,diclofenac sódico+omeprazol             ,5661393,7790375267001
42084,EXFORGE                                     ,5/320 mg comp.rec.x 14  ,320/5 mg,Novartis            ,valsartán+amlodipina                    ,5700261,7795306104561
42085,EXFORGE                                     ,5/320 mg comp.rec.x 28  ,320/5 mg,Novartis            ,valsartán+amlodipina                    ,5700262,7795306104486
42086,EXFORGE                                     ,10/320 mg comp.rec.x 14 ,320/10 mg,Novartis            ,valsartán+amlodipina                    ,5700131,7795306104455
42087,EXFORGE                                     ,10/320 mg comp.rec.x 28 ,320/10 mg,Novartis            ,valsartán+amlodipina                    ,5700132,7795306104462
42088,EXELON PARCHES                              ,9 mg parches x 30       ,9 mg,Novartis            ,rivastigmina                            ,5731421,7795306112177
42089,EXELON PARCHES                              ,18 mg parches x 30      ,18 mg,Novartis            ,rivastigmina                            ,5731551,7795306112474
42090,PEROXICLIN DUO                              ,gel x 30 g              ,1/5 %,Raymos              ,"clindamicina+benzoílo,peróxido          ",5737972,7795367055383
42092,FIBRINOX                                    ,20mg jga.prell.x2x0.2ml ,100 mg,Sandoz              ,enoxaparina sódica                      ,5734131,7792069220019
42093,FIBRINOX                                    ,40mg jga.prell.x2x0.4ml ,100 mg,Sandoz              ,enoxaparina sódica                      ,5734261,7792069220033
42094,FIBRINOX                                    ,40mg jga.prell.x10x0.4ml,100 mg,Sandoz              ,enoxaparina sódica                      ,5734262,7792069220040
42095,FIBRINOX                                    ,60mg jga.prell.x10x0.6ml,100 mg,Sandoz              ,enoxaparina sódica                      ,5734391,7792069220057
42096,FIBRINOX                                    ,80mg jga.prell.x10x0.8ml,100 mg,Sandoz              ,enoxaparina sódica                      ,5734421,7792069220064
42097,NEOSTRATA ESPUMA DE LIMPIEZA                ,espuma x 100 ml         , No Clasificada,HLB Pharma          ,"glicólico,ác.+asoc.                     ",9942097,7798081260767
42098,LEVITRA                                     ,20 mg comp.x 2          ,20 mg,Bayer (PH)          ,vardenafil                              ,5082351,7793640003014
42099,LEVITRA                                     ,20 mg comp.x 4          ,20 mg,Bayer (PH)          ,vardenafil                              ,5082352,7793640003021
42108,OXADISTEN CB                                ,caps.blandas x 15       ,50/4 mg,Beta                ,diclofenac+pridinol                     ,5720132,7795328053779
42113,PROSTOKLAR                                  ,0.4 mg comp.lib.prol.x30,0.4 mg Retard,Baliarda            ,tamsulosina                             ,5653973,7795338016245
42117,CISTIDAC                                    ,loc.x 120 ml            , No Clasificada,Eurolab             ,carnitina+asoc.                         ,9942117,7798122340519
42118,TROXAC                                      ,caps.x 32               , No Clasificada,Eurolab             ,serenoa repens+asoc.                    ,9942118,7798122340502
42123,OSTEOVITAL PLUS                             ,sob.x 30 + comp.x 30    , No Clasificada,Investi             ,"estroncio,ranel.+calcio+vit.D3          ",5752714,7795380010413
42125,CETIMER L                                   ,5 mg comp.x 10          ,5 mg,Elea                ,levocetirizina                          ,5756261,7795317004911
42126,CETIMER L                                   ,5 mg comp.x 30          ,5 mg,Elea                ,levocetirizina                          ,5756262,7795317004928
42127,CETIMER L                                   ,5 mg/ml gotas x 20 ml   ,5 mg/ml,Elea                ,levocetirizina                          ,5756393,7795317004904
42128,THERAFLU ALERGIA                            ,Adultos 25 mg sob.x 12  ,25 mg,Novartis Consume    ,difenhidramina                          ,5633260,7795306242461
42129,THERAFLU ALERGIA                            ,Niños 12.5 mg sob.x 16  ,12.5 mg,Novartis Consume    ,difenhidramina                          ,5633130,7795306242478
42184,XEDENOL                                     ,100 mg comp.rec.LP x 15 ,100 mg Retard,Baliarda            ,diclofenac sódico                       ,4635551,7795338016252
42203,ALENYS                                      ,inhal.nasal ds.x 120    ,27.5 mcg/dosis,GlaxoSmithKline     ,"fluticasona,furoato                     ",5755711,7794640404221
42204,ALLEGRA                                     ,susp.x 150 ml           , No Clasificada,Sanofi-Aventis      ,fexofenadina                            ,5730131,7795312100090
42211,MARPLAN                                     ,1.5 mg comp.x 1         ,1.5 mg,AstraZeneca         ,levonorgestrel                          ,5730971,7795351982947
42218,VENTOPLUS AEROSOL                           ,45 mcg ds.x 200         ,45 mcg/dosis,Phoenix             ,l-salbutamol                            ,5758391,7791848267054
42219,VENTOPLUS AEROSOL                           ,45 mcg ds.x 200 c/aeroc.,45 mcg/dosis,Phoenix             ,l-salbutamol                            ,5758392,7791848267061
42227,TOTAL MAGNESIANO ENERGIZANTE                ,comp.rec.x 30           , No Clasificada,Temis-Lostaló       ,magnesio+asoc.                          ,4937842,7795337900101
42228,PELMEC MAX D                                ,comp.x 60 (30+30)       ,5/50/12.5 mg,Casasco             ,amlodipina+losartán+hidroclorot.        ,5772971,7791909226440
42266,TRIAL SAT L.A.                              ,0.014 mg sat x 4        ,14 mcg/24 horas,Beta                ,estradiol transdermal                   ,5756712,7795328055889
42267,ATEROCLAR COMBI                             ,10/10 mg comp.x 30      ,10/10 mg,Beta                ,atorvastatín+ezetimibe                  ,5735682,7795328050761
42268,ATEROCLAR COMBI                             ,20/10 mg comp.x 30      ,20/10 mg,Beta                ,atorvastatín+ezetimibe                  ,5735552,7795328050785
42272,TESTEX PROLONGATUM 250                      ,250 mg iny.a.x 1 x 2 ml ,250 mg/ml,Ariston             ,testosterona                            ,567542,7798124760520
42273,TESTEX PROLONGATUM 100                      ,100 mg iny.a.x 1 x 2 ml ,100 mg/ml,Ariston             ,testosterona                            ,567539,7798124760513
42274,ADAXIL PLUS                                 ,caps.x 30               ,400/500 mg,Takeda              ,"condroitín,sulfato+glucosamina          ",5748131,7795300740475
42275,NABILA                                      ,5 mg comp.x 28          ,5 mg,Raffo               ,nebivolol                               ,5748711,7798084685093
42278,GALVUS                                      ,50 mg comp.x 56         ,50 mg,Novartis            ,vildagliptin                            ,5726132,7795306150124
42284,METGLUCON 500                               ,comp.rec.x 30           ,500 mg,Investi             ,metformina                              ,5169831,7795380010451
42285,METGLUCON 500                               ,comp.rec.x 60           ,500 mg,Investi             ,metformina                              ,5169832,7795380010468
42286,METGLUCON 850 AP                            ,comp.rec.x 30           ,850 mg Retard,Investi             ,metformina                              ,5232511,7795380010475
42287,METGLUCON 850 AP                            ,comp.rec.x 60           ,850 mg Retard,Investi             ,metformina                              ,5232512,7795380010482
42294,PLIDEX 100                                  ,comp.x 30               ,100 mg,Roemmers            ,trimebutina                             ,5733557,7795345120669
42295,PLIDEX 200                                  ,comp.x 15               ,200 mg,Roemmers            ,trimebutina                             ,5733684,7795345120676
42296,PLIDEX 200                                  ,comp.x 30               ,200 mg,Roemmers            ,trimebutina                             ,5733687,7795345120683
42316,TEMAX                                       ,5/10 mg comp.x 30       ,5/10 mg,Sidus               ,amlodipina+atorvastatín                 ,5616004,7795356999681
42317,TEMAX                                       ,5/20 mg comp.x 30       ,5/20 mg,Sidus               ,amlodipina+atorvastatín                 ,5616264,7795356999698
42318,TEMAX                                       ,10/20 mg comp.x 30      ,10/20 mg,Sidus               ,amlodipina+atorvastatín                 ,5616134,7795356999704
42328,GLIMEPLIC                                   ,2 mg comp.ran.x 30      ,2 mg,Baliarda            ,glimepiride                             ,4891133,7795338016306
42329,GLIMEPLIC                                   ,4 mg comp.ran.x 15      ,4 mg,Baliarda            ,glimepiride                             ,4891211,7795338016276
42330,GLIMEPLIC                                   ,4 mg comp.ran.x 30      ,4 mg,Baliarda            ,glimepiride                             ,4891213,7795338016283
42331,ROSUSTATIN                                  ,10 mg comp.rec.x 28     ,10 mg,Montpellier         ,rosuvastatina                           ,5781681,7795302303128
42332,ROSUSTATIN                                  ,20 mg comp.rec.x 28     ,20 mg,Montpellier         ,rosuvastatina                           ,5781711,7795302303159
42335,ADROMUX                                     ,150 mg comp.x 1         ,150 mg,Gador               ,"ibandrónico,ác.                         ",5669971,7792183488944
42339,QUINILAN                                    ,5% cr.x 6 g             ,5 %,Raymos              ,imiquimod                               ,5617681,7795367006729
42340,PRODINAM                                    ,sob.x 28 x 2 g          ,2 g,AstraZeneca         ,"estroncio,ranelato                      ",5678393,7795351982961
